Filename,Result,Time
MDG-a_1_n500_m50.txt,7003.6,97.82569909095764
MDG-a_2_n500_m50.txt,7030.719999999999,107.77943825721741
MDG-a_3_n500_m50.txt,7078.279999999999,100.12426567077637
MDG-a_4_n500_m50.txt,7111.590000000001,118.77201914787292
MDG-a_5_n500_m50.txt,6974.940000000002,114.49067616462708
MDG-a_6_n500_m50.txt,7050.950000000001,90.39350271224976
MDG-a_7_n500_m50.txt,6904.33,91.52627992630005
MDG-a_8_n500_m50.txt,7179.54,107.31200981140137
MDG-a_9_n500_m50.txt,7073.500000000001,117.12710213661194
MDG-a_10_n500_m50.txt,6989.25,115.03276801109314
MDG-b_21_n2000_m200.txt,10274667.087075554,1309.3481793403625
MDG-b_22_n2000_m200.txt,10358602.255330263,1802.2299790382385
MDG-b_23_n2000_m200.txt,10332744.67860157,1753.4790325164795
MDG-b_24_n2000_m200.txt,10291564.559954569,1199.7436118125916
MDG-b_25_n2000_m200.txt,10304903.545073502,1757.5969355106354
MDG-b_26_n2000_m200.txt,10289365.967120385,1141.583728313446
MDG-b_27_n2000_m200.txt,10330500.320912339,1755.9223954677582
MDG-b_28_n2000_m200.txt,10321439.99437856,1351.1931607723236
MDG-b_29_n2000_m200.txt,10359061.835844496,1741.5061643123627
MDG-b_30_n2000_m200.txt,10314741.64318935,1420.3343949317932
MDG-c_1_n3000_m300.txt,22952913.0,2362.295160293579
MDG-c_2_n3000_m300.txt,23010536.0,3359.576372385025
MDG-c_8_n3000_m400.txt,40817728.0,4149.737230539322
MDG-c_9_n3000_m400.txt,40764137.0,4122.154310464859
MDG-c_10_n3000_m400.txt,40799675.0,4152.037270069122
MDG-c_13_n3000_m500.txt,63641577.0,4036.7523849010468
MDG-c_14_n3000_m500.txt,63508958.0,3588.8108880519867
MDG-c_15_n3000_m500.txt,63752327.0,4152.889555931091
MDG-c_19_n3000_m600.txt,91403005.0,4140.949252128601
MDG-c_20_n3000_m600.txt,91458792.0,3966.311069250107
